,date_mutation,valeur_fonciere,type_local,surface_reelle_bati,nombre_pieces_principales,longitude,latitude,code_postal,prixm2
0,29/06/2022,740000,Appartement,76,3,2.2578735,48.8394147,16,9736.842105263158
1,28/06/2022,598000,Appartement,54,2,2.2608715,48.8385148,16,11074.074074074075
2,28/06/2022,620874,Appartement,85,3,2.2579945,48.8379448,16,7304.4
3,23/06/2022,230000,Appartement,30,2,2.2605676,48.8384705,16,7666.666666666667
4,17/06/2022,1380000,Appartement,141,5,2.2569155,48.8391257,16,9787.234042553191
5,10/06/2022,188000,Appartement,14,1,2.2578735,48.8394147,16,13428.57142857143
6,10/06/2022,1405038,Appartement,100,3,2.2608715,48.8385148,16,14050.38
7,10/06/2022,550000,Appartement,48,3,2.2614024,48.8394882,16,11458.333333333334
8,08/06/2022,265000,Appartement,20,1,2.2608304,48.8375127,16,13250.0
9,23/05/2022,238000,Appartement,30,1,2.2609373,48.8375897,16,7933.333333333333
10,20/05/2022,470000,Appartement,48,2,2.2586863,48.8385168,16,9791.666666666666
11,30/06/2022,1018850,Appartement,83,3,2.2588795,48.8417169,16,12275.301204819278
12,30/06/2022,663461,Appartement,71,3,2.2563405,48.8433937,16,9344.521126760563
13,27/06/2022,645000,Appartement,69,3,2.2581757,48.843822,16,9347.826086956522
14,24/06/2022,135000,Appartement,9,1,2.2591363,48.843574,16,15000.0
15,21/06/2022,2700000,Maison,175,7,2.2582841,48.8408172,16,15428.57142857143
16,13/06/2022,1337930,Appartement,81,3,2.2573448,48.8445021,16,16517.654320987655
18,07/06/2022,434000,Appartement,46,2,2.2611735,48.8398435,16,9434.782608695652
19,03/06/2022,425000,Appartement,52,2,2.2590235,48.8405378,16,8173.076923076923
20,02/06/2022,522000,Appartement,53,3,2.2572543,48.842339,16,9849.056603773584
21,31/05/2022,750000,Appartement,46,3,2.2602692,48.840636,16,16304.347826086956
23,25/05/2022,1244700,Maison,77,5,2.2607589,48.8406473,16,16164.935064935065
24,25/05/2022,1000000,Appartement,93,4,2.2573857,48.8428126,16,10752.68817204301
25,25/05/2022,1275000,Appartement,130,5,2.2584613,48.8406248,16,9807.692307692309
26,24/05/2022,470000,Appartement,46,2,2.2569267,48.84029,16,10217.391304347826
27,24/05/2022,779300,Appartement,82,4,2.2588692,48.8428277,16,9503.658536585366
28,23/05/2022,330580,Appartement,39,3,2.2573423,48.8425222,16,8476.410256410256
29,19/05/2022,200000,Appartement,22,2,2.2603252,48.8373487,16,9090.90909090909
30,16/05/2022,795000,Appartement,93,4,2.256437,48.8406271,16,8548.387096774193
31,16/05/2022,618120,Appartement,56,2,2.2586279,48.8427628,16,11037.857142857143
32,13/05/2022,740980,Appartement,69,3,2.2573423,48.8425222,16,10738.840579710144
33,12/05/2022,472500,Appartement,48,1,2.2573857,48.8428126,16,9843.75
34,30/06/2022,1157100,Appartement,95,4,2.2603824,48.8474293,16,12180.0
35,28/06/2022,1400000,Appartement,127,4,2.260963,48.8483839,16,11023.622047244095
36,28/06/2022,413000,Appartement,48,2,2.2605088,48.8455446,16,8604.166666666666
37,23/06/2022,355000,Appartement,40,1,2.2598299,48.845388,16,8875.0
38,22/06/2022,575000,Appartement,49,2,2.2586983,48.8471382,16,11734.69387755102
39,10/06/2022,415000,Appartement,46,2,2.2611025,48.8451693,16,9021.739130434782
