,date_mutation,valeur_fonciere,type_local,surface_reelle_bati,nombre_pieces_principales,longitude,latitude
0,29/06/2022,740000,Appartement,76,3,2.2578735,48.8394147
1,28/06/2022,598000,Appartement,54,2,2.2608715,48.8385148
2,28/06/2022,620874,Appartement,85,3,2.2579945,48.8379448
3,23/06/2022,230000,Appartement,30,2,2.2605676,48.8384705
4,17/06/2022,1380000,Appartement,141,5,2.2569155,48.8391257
5,10/06/2022,188000,Appartement,14,1,2.2578735,48.8394147
6,10/06/2022,1405038,Appartement,100,3,2.2608715,48.8385148
7,10/06/2022,550000,Appartement,48,3,2.2614024,48.8394882
8,08/06/2022,265000,Appartement,20,1,2.2608304,48.8375127
9,23/05/2022,238000,Appartement,30,1,2.2609373,48.8375897
10,20/05/2022,470000,Appartement,48,2,2.2586863,48.8385168
11,30/06/2022,1018850,Appartement,83,3,2.2588795,48.8417169
12,30/06/2022,663461,Appartement,71,3,2.2563405,48.8433937
13,27/06/2022,645000,Appartement,69,3,2.2581757,48.843822
14,24/06/2022,135000,Appartement,9,1,2.2591363,48.843574
15,21/06/2022,2700000,Maison,175,7,2.2582841,48.8408172
16,13/06/2022,1337930,Appartement,81,3,2.2573448,48.8445021
17,10/06/2022,400000,Appartement,35,2,2.2579934,48.8435892
18,07/06/2022,434000,Appartement,46,2,2.2611735,48.8398435
19,03/06/2022,425000,Appartement,52,2,2.2590235,48.8405378
20,02/06/2022,522000,Appartement,53,3,2.2572543,48.842339
21,31/05/2022,750000,Appartement,46,3,2.2602692,48.840636
22,31/05/2022,260000,Appartement,25,1,2.2606391,48.842532
23,25/05/2022,1244700,Maison,77,5,2.2607589,48.8406473
24,25/05/2022,1000000,Appartement,93,4,2.2573857,48.8428126
25,25/05/2022,1275000,Appartement,130,5,2.2584613,48.8406248
26,24/05/2022,470000,Appartement,46,2,2.2569267,48.84029
27,24/05/2022,779300,Appartement,82,4,2.2588692,48.8428277
28,23/05/2022,330580,Appartement,39,3,2.2573423,48.8425222
29,19/05/2022,200000,Appartement,22,2,2.2603252,48.8373487
30,16/05/2022,795000,Appartement,93,4,2.256437,48.8406271
31,16/05/2022,618120,Appartement,56,2,2.2586279,48.8427628
32,13/05/2022,740980,Appartement,69,3,2.2573423,48.8425222
33,12/05/2022,472500,Appartement,48,1,2.2573857,48.8428126
34,30/06/2022,1157100,Appartement,95,4,2.2603824,48.8474293
35,28/06/2022,1400000,Appartement,127,4,2.260963,48.8483839
36,28/06/2022,413000,Appartement,48,2,2.2605088,48.8455446
37,23/06/2022,355000,Appartement,40,1,2.2598299,48.845388
38,22/06/2022,575000,Appartement,49,2,2.2586983,48.8471382
39,10/06/2022,415000,Appartement,46,2,2.2611025,48.8451693
40,09/06/2022,704000,Appartement,57,3,2.2591933,48.84584
41,09/06/2022,890700,Appartement,78,3,2.259344,48.8469893
42,08/06/2022,750000,Appartement,75,3,2.2586481,48.8496547
43,07/06/2022,570000,Appartement,52,2,2.2595562,48.8464296
44,07/06/2022,323150,Appartement,36,1,2.2608501,48.845176
45,03/06/2022,1259000,Appartement,91,4,2.2591166,48.8488408
46,30/05/2022,832500,Appartement,85,3,2.2588529,48.845716
47,24/05/2022,110000,Appartement,10,1,2.2591166,48.8488408
48,13/05/2022,803350,Appartement,82,3,2.2578222,48.8452572
49,11/05/2022,1200000,Appartement,116,5,2.2598268,48.8429017
