,type_local,surface_reelle_bati,longitude,latitude,trimestre_trimestre_1,trimestre_trimestre_2,trimestre_trimestre_3,trimestre_trimestre_4,année_2018,année_2019,année_2020,année_2021,année_2022,année_antérieur_a_2018,nb_pieces_0,nb_pieces_1,nb_pieces_2,nb_pieces_3,nb_pieces_4,nb_pieces_5,nb_pieces_6,nb_pieces_7,nb_pieces_8,nb_pieces_more_than_9
0,0,0.030303030303030304,0.9637590553592468,0.9628556984553853,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1,0,0.10227272727272727,0.990511448536189,0.9924340744035653,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,0,0.09090909090909091,0.976576796544403,0.991694995673825,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
3,0,0.12878787878787878,0.9940220450463171,0.9676129903451915,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
4,0,0.07575757575757575,0.9717029871151022,0.9606670200823793,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5,0,0.28030303030303033,0.9657802661604515,0.9757851733077203,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
6,0,0.2462121212121212,0.9743095303027758,0.9752238012459102,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0.34090909090909094,0.9779418389484711,0.9746045185803425,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
8,0,0.31818181818181823,0.9694739344961771,0.9596693922156767,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
9,0,0.33712121212121215,0.9856005355087292,0.9738705154367828,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
10,0,0.12121212121212122,0.9677184101250025,0.9820193384725577,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
11,0,0.08333333333333334,0.9856143080354696,0.9820310184359329,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
12,0,0.1856060606060606,0.9725130378035508,0.9608917523620235,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
13,0,0.37500000000000006,0.9812001104351084,0.9677003148881411,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
