,valeur_fonciere
0,660000
1,1104000
2,1070000
3,565000
4,135000
5,310000
6,204150
7,1236150
8,350000
9,1193260
10,460000
11,660000
12,2428300
13,277000
14,172050
15,325000
16,660000
17,1380000
18,455000
19,180950
20,397000
21,490000
22,710200
23,770000
24,470000
25,660000
26,1212500
27,500000
28,365000
29,168000
30,816000
31,285000
32,265000
33,294663
34,370000
35,266500
36,1756300
37,850000
38,1311733
39,880000
40,904762
41,830000
42,492000
43,365000
44,263600
45,1136585
46,210000
47,553000
48,590000
49,233000
50,2080000
51,190000
52,410000
53,944000
54,435000
55,1330000
56,2320000
57,560000
58,400230
59,126000
60,1060000
61,447000
62,675000
63,343500
64,285000
65,355000
66,195000
67,300000
68,119000
69,385000
70,875600
71,725000
72,665000
73,156800
74,2745200
75,665000
76,644990
77,382200
78,1467700
79,555000
80,1833710
81,460000
82,385000
83,263000
84,245000
85,290000
86,470000
87,310000
88,795113
89,580000
90,1071500
91,360000
92,530000
93,1901898
94,1034000
95,345100
96,625000
97,401000
98,1100000
99,485000
100,2933770
101,219500
102,465000
103,350000
104,1490385
105,337250
106,58000
107,747000
108,204500
109,580000
110,330000
111,298000
112,216000
113,440000
114,1004000
115,676890
116,781080
117,411340
118,1100000
119,860000
120,650000
121,870000
122,330375
123,506000
124,865000
125,210000
126,533000
127,450000
128,180000
129,2000000
130,695000
131,307500
132,1850000
133,1640900
134,1500000
135,286550
136,558125
137,3179900
138,409500
139,1400000
140,536320
141,450000
142,330000
143,1160000
144,2700000
145,303000
146,275000
147,515030
148,305000
149,225200
150,314330
151,580000
152,380000
153,340000
154,310000
155,210000
156,680000
157,760000
158,510200
159,2146036
160,480000
161,750000
162,568000
163,1650000
164,235000
165,465500
166,450000
167,435000
168,328550
169,350000
170,1515000
171,812300
172,250950
173,210000
174,850000
175,698700
176,353000
177,180000
178,1015000
179,200000
180,1030000
181,314000
182,188000
183,1780000
184,860950
185,282000
186,480000
187,850000
188,211400
189,375000
190,102000
191,381500
192,370000
193,382300
194,865300
195,382907
196,180000
197,803000
198,290000
199,766000
200,1385450
201,337000
202,170000
203,650000
204,270000
205,320000
206,1550000
207,145000
208,336000
209,485000
210,340000
211,1066400
212,1778850
213,1800000
214,1775000
215,215000
216,890000
217,260000
